rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,eval/mean_reward,eval/mean_ep_length
463.0,1751,1852,-12.092519760131836,0.12855425477027893,0.926121175289154,-0.5151756405830383,81,4,-100.41429,22,4.3850970426315527e-05,,
839.25,6613,6714,-32.944095611572266,1.2200913429260254,0.7485198974609375,-1.9319067001342773,77,8,-96.886813375,86,4.3850970426315527e-05,,
711.6666666666666,8439,8540,-39.49386215209961,0.5938218832015991,0.6910035014152527,-2.4667022228240967,77,12,-99.98216608333333,110,4.3850970426315527e-05,,
,9899,10000,-43.87990951538086,1.3595807552337646,0.6483057141304016,-2.849494457244873,,,,,4.3850970426315527e-05,-17.677778213389683,1600.0
845.1875,13422,13523,-53.787330627441406,0.8810750246047974,0.5557403564453125,-3.849490165710449,73,16,-99.750555875,183,4.3850970426315527e-05,,
920.45,18308,18409,-64.0142822265625,1.0861079692840576,0.4487086832523346,-5.206700325012207,74,20,-98.69177635000001,247,4.3850970426315527e-05,,
,19899,20000,-67.27783203125,1.386425495147705,0.4185372591018677,-5.631896018981934,,,,,4.3850970426315527e-05,-13.563811251637526,1600.0
1033.7083333333333,24708,24809,-73.96161651611328,0.9691490530967712,0.33907192945480347,-6.9569993019104,72,24,-95.81030366666668,339,4.3850970426315527e-05,,
,29899,30000,-79.36138153076172,1.0492126941680908,0.27024081349372864,-8.233087539672852,,,,,4.3850970426315527e-05,-47.766105072491335,1600.0
1114.607142857143,31108,31209,-81.22837829589844,0.8867236375808716,0.25634250044822693,-8.609169006347656,72,28,-92.1935747857143,432,4.3850970426315527e-05,,
1175.28125,37508,37609,-84.59828186035156,1.3503117561340332,0.1937909573316574,-9.989410400390625,72,32,-88.88055896875,516,4.3850970426315527e-05,,
1095.2222222222222,39327,39428,-85.9362564086914,0.7057629227638245,0.17896559834480286,-10.257022857666016,72,36,-90.16341316666666,540,4.3850970426315527e-05,,
,39899,40000,-85.55404663085938,10.8291654586792,0.17456716299057007,-10.432212829589844,,,,,4.3850970426315527e-05,-115.91295128343627,739.2
1011.375,40354,40455,-86.09571838378906,0.896843433380127,0.17115852236747742,-10.828006744384766,72,40,-93.854472875,558,4.3850970426315527e-05,,
940.3409090909091,41274,41375,-86.24415588378906,9.663337707519531,0.16449925303459167,-10.566732406616211,72,44,-97.02490650000003,570,4.3850970426315527e-05,,
872.2083333333334,41765,41866,-85.98628997802734,1.3179290294647217,0.1610540896654129,-10.374152183532715,72,48,-99.38817883333331,577,4.3850970426315527e-05,,
819.3269230769231,42504,42605,-85.44871520996094,2.0094027519226074,0.15601664781570435,-10.130958557128906,72,52,-100.51326090384615,586,4.3850970426315527e-05,,
802.3392857142857,44830,44931,-86.7515869140625,5.885014533996582,0.14124362170696259,-10.501688003540039,72,56,-101.43681707142856,617,4.3850970426315527e-05,,
755.75,45244,45345,-86.1771469116211,2.0761208534240723,0.13876286149024963,-10.181594848632812,72,60,-102.01156251666666,622,4.3850970426315527e-05,,
715.171875,45670,45771,-85.49091339111328,2.751572608947754,0.13626816868782043,-10.310958862304688,72,64,-102.57042662500001,628,4.3850970426315527e-05,,
700.6176470588235,47541,47642,-86.33505249023438,2.675004005432129,0.12580689787864685,-10.169601440429688,72,68,-102.59328061764708,652,4.3850970426315527e-05,,
,49899,50000,-86.05377197265625,2.533828020095825,0.11368784308433533,-10.939330101013184,,,,,4.3850970426315527e-05,-46.8812823377084,1315.6
