time/total_timesteps,eval/mean_reward,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed
1000,-81.14142,899,-1.1429824829101562,0.0001965450924118268,-71.5323257446289,707.8,0.8393356800079346,0.6348620653152466,,,,,
1685,,1584,-1.9552878141403198,0.0001965450924118268,-112.69190216064453,,0.7341538071632385,1.9973570108413696,421.25,71,4,-125.59898975,23
1930,,1829,-2.109161138534546,0.0001965450924118268,-120.6195068359375,,0.7013738751411438,103.68008422851562,241.25,72,8,-113.65433362499999,26
2000,-98.05381100000001,1899,-2.260894298553467,0.0001965450924118268,-123.0973129272461,60.0,0.692325234413147,5.5360493659973145,,,,,
2309,,2208,-2.274567127227783,0.0001965450924118268,-130.23992919921875,,0.6552347540855408,54.92826843261719,192.41666666666666,73,12,-113.13141733333332,31
2713,,2612,-2.4444310665130615,0.0001965450924118268,-132.10147094726562,,0.6119381785392761,20.17902374267578,169.5625,74,16,-113.44399824999999,36
3000,-117.49903520000001,2899,-2.693657875061035,0.0001965450924118268,-134.78465270996094,67.6,0.5823376774787903,20.57227897644043,,,,,
3075,,2974,-2.733393669128418,0.0001965450924118268,-130.7381591796875,,0.5746595859527588,34.66468048095703,153.75,74,20,-114.71472544999999,41
4000,-42.449512399999996,3899,-3.1202797889709473,0.0001965450924118268,-153.50692749023438,1600.0,0.49182942509651184,22.363876342773438,,,,,
5000,-69.351653,4899,-3.5646538734436035,0.0001965450924118268,-166.3748016357422,1600.0,0.412601113319397,24.970165252685547,,,,,
5016,,4915,-3.881148099899292,0.0001965450924118268,-169.66305541992188,,0.41138169169425964,17.43701171875,209.0,61,24,-114.60517395833331,81
6000,-48.0187138,5899,-4.271956443786621,0.0001965450924118268,-172.61984252929688,1600.0,0.34273019433021545,18.507568359375,,,,,
7000,-178.322313,6899,-5.0033745765686035,0.0001965450924118268,-174.54971313476562,1600.0,0.2838042378425598,16.836416244506836,,,,,
8000,-115.18191959999999,7899,-5.430325984954834,0.0001965450924118268,-166.13885498046875,119.6,0.23582881689071655,10.948123931884766,,,,,
9000,-125.9809746,8899,-4.424625396728516,0.0001965450924118268,-164.84373474121094,901.6,0.1985151469707489,14.58139419555664,,,,,
10000,-110.9812576,9899,-2.70702862739563,0.0001965450924118268,-160.25665283203125,102.2,0.1724139302968979,10.939872741699219,,,,,
10354,,10253,-4.197985649108887,0.0001965450924118268,-161.35479736328125,,0.16362908482551575,9.606463432312012,369.7857142857143,61,28,-118.22286853571427,169
10827,,10726,-3.4218013286590576,0.0001965450924118268,-149.293212890625,,0.1519060730934143,19.21070098876953,338.34375,61,32,-117.92395496875001,176
11000,-137.1552392,10899,-2.597539186477661,0.0001965450924118268,-141.55091857910156,210.2,0.1483728438615799,16.390522003173828,,,,,
11303,,11202,-3.273676872253418,0.0001965450924118268,-138.94691467285156,,0.14201125502586365,17.77353286743164,313.97222222222223,61,36,-118.15259972222222,183
11547,,11446,-3.097459554672241,0.0001965450924118268,-131.03282165527344,,0.13719409704208374,14.462973594665527,288.675,61,40,-117.71124582499999,186
11846,,11745,-2.936014413833618,0.0001965450924118268,-124.05287170410156,,0.1319260597229004,17.54160499572754,269.22727272727275,62,44,-117.28429752272724,190
