#{"t_start": 1772226921.699562, "env_id": "BipedalWalker-v3"}
r,l,t
-100.110205,82,1.304485
-192.820161,1487,23.185199
-107.45859,55,23.907784
-102.007003,61,24.718464
-101.269283,62,25.554568
-101.545217,50,26.226142
-98.935418,73,27.095727
-105.088792,60,27.804785
-120.509676,82,29.176684
-97.898092,70,30.048919
-105.447188,66,30.856308
-124.487383,161,32.768328
-111.382235,60,33.475495
-107.428315,47,34.02836
-126.95799,151,35.819407
-111.758424,146,37.545502
-128.910485,128,39.054306
-119.969063,87,40.097074
-113.911615,74,41.352528
-116.399374,73,42.334807
-131.896484,130,43.954399
-103.754006,103,45.193838
-117.406507,108,46.505575
-103.172669,1600,82.419807
-78.853739,1600,110.142482
-72.139226,1600,138.067046
-189.230523,902,153.310687
-219.492656,1236,170.821365
-112.292531,122,172.809165
-114.554927,122,174.58351
-122.796091,136,176.489471
-113.682691,93,177.750468
-133.028262,136,179.489995
-134.085361,159,182.569092
-105.198838,90,183.739543
-107.61457,91,184.920719
-108.103178,59,185.704995
-109.575982,46,186.309029
-127.584904,75,187.283364
-109.692179,64,188.096911
-108.62037,75,189.041458
-119.447211,72,190.019734
-115.055624,80,191.118965
-108.936053,72,192.017191
-114.411639,1600,221.108603
-118.41302,282,224.420462
-104.737899,110,225.716848
-105.617396,105,226.936141
-104.840055,60,228.015939
-105.848443,100,229.209371
-112.737244,73,230.093599
-105.183283,54,230.728266
-105.833153,83,231.718699
-106.721555,74,232.579839
-100.27689,69,233.399582
-102.380375,72,234.241769
-105.269465,55,234.886272
-105.335267,85,235.902239
-108.198559,83,236.864126
-175.915221,914,255.270683
-116.086799,40,255.74323
-122.932656,187,257.913695
-204.514936,1331,280.39413
-125.257799,484,286.081577
-107.216913,575,299.767915
-137.218952,270,302.929597
-183.05603,1218,323.441478
-147.144818,383,329.075603
-123.141665,202,332.300655
-101.0976,175,334.871648
-109.733725,192,337.457072
-100.345691,319,343.57053
-115.516419,420,348.91521
-147.11417,754,360.658292
-110.059434,1600,387.783186
-116.868715,65,388.606768
-87.569231,1600,416.0319
-84.257465,1600,453.431328
-86.815893,1600,476.541487
-105.303319,110,478.021589
-111.415666,103,479.38928
-105.411072,137,487.94909
-102.21827,122,489.438987
-109.287313,39,489.911026
-104.242381,127,491.446744
-115.850516,1600,518.012498
-106.494113,161,522.687486
-118.396957,639,530.57968
-108.38266,265,533.998431
-123.54285,113,541.597435
-103.926376,1600,564.145265
-94.539059,1600,589.481387
-66.460826,1600,615.612506
-75.277653,1600,646.927154
-98.411316,1600,680.47389
-154.138209,898,691.156523
-126.03587,135,693.229746
-110.660348,77,694.139844
-126.226517,100,695.349484
-123.864298,157,697.20364
-104.472031,96,698.353735
-140.806829,594,707.858416
-120.772113,452,713.384797
-115.371616,324,717.323845
-67.326101,1600,750.723519
-74.223649,1600,789.411473
-85.377433,1600,821.290651
-79.026082,1600,862.264318
-93.213609,1600,892.517053
-55.794623,1600,933.000823
-107.934064,364,938.011601
-110.417487,1600,972.603178
-112.220844,1600,1006.473377
-122.586932,84,1007.622285
-153.735002,602,1016.09659
-139.046774,245,1022.728063
-113.832692,143,1024.680053
-122.759793,269,1028.104073
-128.022297,173,1030.318247
-73.429289,1600,1060.820471
-66.586036,1600,1092.192621
-111.162953,1600,1125.602981
35.897576,1600,1164.214863
-110.954133,186,1166.691036
29.542721,1600,1195.382017
65.500364,1600,1232.17004
-175.552795,1590,1259.701644
-179.702899,1535,1294.453799
-134.58204,381,1299.410563
-4.568079,1600,1335.805648
-130.411674,143,1337.668768
-123.133941,103,1339.078579
-140.499136,147,1341.121612
-79.568494,467,1348.619176
-88.895318,183,1351.262491
-91.80119,216,1354.311176
-66.67594,618,1368.001517
-110.08443,135,1369.849338
-29.895739,1600,1409.133418
-38.460806,1600,1439.831848
-134.07818,614,1455.231267
-142.543802,1274,1473.831253
-122.578566,98,1475.108609
-131.699503,166,1477.296842
-93.726568,1600,1509.249718
-129.588313,156,1511.379407
19.881815,1600,1543.697236
19.872401,1600,1570.227696
-57.192556,1600,1601.390251
-91.999946,1285,1623.293711
34.95429,1600,1646.075711
37.901198,1600,1670.420961
-87.786579,1117,1695.977595
-106.931809,551,1702.40108
25.57333,1600,1731.94321
-122.054662,1280,1754.518522
4.454201,1600,1792.451448
-33.039943,1600,1820.440012
-24.415016,1600,1853.584957
-91.117599,461,1858.971256
-48.487813,1600,1889.618101
58.535232,1600,1913.053009
-62.354186,500,1923.197443
-63.123063,581,1929.981104
112.644952,1600,1955.754267
-72.712677,601,1969.023783
124.224572,1600,1994.502587
141.91403,1600,2026.684303
128.536402,1600,2050.9381
70.349855,1593,2079.971143
-42.061732,596,2089.975639
-63.466006,610,2097.057403
136.987869,1600,2128.696137
-8.780178,1004,2146.511875
171.133303,1600,2172.747354
-25.25589,770,2187.602702
90.238726,1500,2212.923393
190.421637,1600,2239.16263
156.790424,1600,2273.219451
221.899382,1600,2307.204786
216.610534,1600,2333.486896
263.961667,1513,2364.947427
-85.172495,732,2373.475627
-38.545214,419,2385.85646
68.679429,898,2401.583756
-58.353667,387,2406.083562
42.359312,736,2418.291965
273.864273,1271,2435.657703
267.80742,1380,2465.20122
273.015499,1326,2484.034796
277.023215,1241,2504.326825
275.537484,1264,2528.232954
280.181549,1155,2548.180913
-43.345912,309,2557.220268
10.33449,574,2564.535224
269.758744,1308,2595.963645
266.758758,1387,2616.492918
261.31321,1461,2646.221867
267.053313,1362,2667.750562
-102.704477,111,2669.161171
262.028669,1430,2690.779554
263.420471,1404,2722.772673
271.711249,1262,2745.161034
274.507545,1183,2765.853797
279.174682,1099,2785.671882
276.913909,1155,2811.840192
276.575594,1142,2831.839765
275.246431,1142,2850.720336
276.695517,1148,2869.773762
278.659141,1082,2888.951542
279.112076,1096,2908.777127
279.356216,1107,2926.53656
278.798362,1134,2944.656137
281.995302,1058,2964.148351
280.426146,1069,2988.71672
277.272214,1120,3007.766465
285.490485,1057,3026.787301
285.478405,1057,3044.699557
277.777669,1197,3064.416736
279.806132,1128,3083.697757
281.773906,1111,3102.583994
282.339025,1135,3121.653492
-87.920328,105,3122.996953
-107.315514,104,3129.900019
282.862098,1101,3148.988001
281.119015,1143,3169.422877
283.769101,1088,3188.332094
170.290069,987,3205.463744
-89.564658,123,3207.040219
285.691666,1050,3225.786836
283.443309,1159,3244.848876
286.777609,1056,3261.37718
-103.609706,101,3262.886946
289.634606,1096,3282.350358
290.339311,1041,3297.414473
288.433545,1071,3320.63951
292.463121,1019,3338.081298
290.632895,1065,3356.081681
290.409224,1019,3371.199907
289.456341,1030,3388.950233
290.647975,1000,3406.336526
288.43127,1082,3424.557562
290.962129,1043,3442.499775
286.946642,1081,3460.574824
292.003881,1002,3478.679677
290.792656,1078,3499.141426
292.95068,981,3515.642635
